Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,6.843750,6.937500,6.703125,6.765625,5.412109,28993600
2001-01-03,6.406250,7.000000,6.343750,6.992188,5.593348,30599200
2001-01-04,6.960938,7.171875,6.921875,7.171875,5.737086,29224000
2001-01-05,7.164063,7.203125,6.859375,6.859375,5.487103,22917600
2001-01-08,6.867188,7.234375,6.757813,7.203125,5.762084,17046400
2001-01-09,7.125000,7.507813,7.062500,7.429688,5.943321,30744800
2001-01-10,7.414063,7.460938,7.242188,7.265625,5.812083,15828800
2001-01-11,7.273438,7.289063,7.101563,7.218750,5.774585,12061600
2001-01-12,7.140625,7.156250,7.015625,7.054688,5.643344,10188800
2001-01-16,7.046875,7.109375,6.843750,6.960938,5.568348,8748000
2001-01-17,6.992188,7.125000,6.921875,6.976563,5.580847,12588800
2001-01-18,6.984375,7.078125,6.968750,7.007813,5.605846,6805600
2001-01-19,6.937500,6.992188,6.500000,6.554688,5.243375,21124800
2001-01-22,6.359375,6.781250,6.359375,6.617188,5.293369,9307200
2001-01-23,6.687500,6.703125,6.507813,6.640625,5.312118,8467200
2001-01-24,6.625000,6.718750,6.468750,6.546875,5.237122,9546400
2001-01-25,6.500000,6.804688,6.492188,6.773438,5.418363,8836800
2001-01-26,6.718750,6.812500,6.546875,6.625000,5.299617,6229600
2001-01-29,6.637500,6.637500,6.425000,6.553750,5.242623,4100800
2001-01-30,6.625000,6.790000,6.563750,6.626250,5.300619,6959200
2001-01-31,6.750000,6.918750,6.673750,6.876250,5.500604,7408000
2001-02-01,6.875000,6.890000,6.772500,6.810000,5.447608,10366400
2001-02-02,6.822500,6.902500,6.758750,6.826250,5.460606,5003200
2001-02-05,6.825000,6.953750,6.822500,6.898750,5.518602,5487200
2001-02-06,6.898750,7.125000,6.898750,7.067500,5.653594,8448000
2001-02-07,7.125000,7.165000,7.036250,7.055000,5.643593,10194400
2001-02-08,7.016250,7.018750,6.760000,6.890000,5.511603,11316800
2001-02-09,6.888750,6.888750,6.755000,6.806250,5.444607,6783200
2001-02-12,6.750000,6.821250,6.750000,6.788750,5.430610,4188800
2001-02-13,6.788750,7.125000,6.788750,7.011250,5.608596,6788800
2001-02-14,7.012500,7.032500,6.782500,6.891250,5.512603,4241600
2001-02-15,6.826250,6.826250,6.526250,6.533750,5.226626,14766400
2001-02-16,6.540000,6.637500,6.440000,6.440000,5.151626,10629600
2001-02-20,6.440000,6.440000,5.938750,5.940000,4.751658,31327200
2001-02-21,6.078750,6.181250,5.876250,5.882500,4.705662,16009600
2001-02-22,5.890000,6.047500,5.671250,6.003750,4.802656,18472800
2001-02-23,6.010000,6.135000,6.003750,6.125000,4.899648,7768800
2001-02-26,6.145000,6.250000,6.067500,6.138750,4.910646,17316000
2001-02-27,5.047500,5.165000,4.771250,4.922500,3.937718,97760800
2001-02-28,4.931250,4.931250,4.661250,4.878750,3.902719,23287200
2001-03-01,4.882500,4.902500,4.697500,4.766250,3.812726,9636800
2001-03-02,4.703750,4.773750,4.688750,4.697500,3.757730,11933600
2001-03-05,4.751250,4.797500,4.668750,4.703750,3.762729,14545600
2001-03-06,4.773750,4.911250,4.753750,4.893750,3.914717,9149600
2001-03-07,4.947500,5.040000,4.935000,5.032500,4.025711,8788000
2001-03-08,5.032500,5.156250,4.953750,5.040000,4.031710,11703200
2001-03-09,5.005000,5.075000,4.940000,5.008750,4.006710,7976800
2001-03-12,5.003750,5.023750,4.886250,4.888750,3.910717,3953600
2001-03-13,4.875000,4.876250,4.667500,4.691250,3.752731,7943200
2001-03-14,4.671250,4.750000,4.563750,4.565000,3.651737,7587200
2001-03-15,4.555000,4.576250,4.435000,4.543750,3.640720,9785600
2001-03-16,4.453750,4.625000,4.427500,4.540000,3.637716,16113600
2001-03-19,4.507500,4.525000,4.415000,4.523750,3.624696,8687200
2001-03-20,4.563750,4.915000,4.556250,4.751250,3.806979,13690400
2001-03-21,5.007500,5.067500,4.940000,5.016250,4.019315,27081600
2001-03-22,5.016250,5.055000,4.908750,4.940000,3.958220,15406400
2001-03-23,4.931250,5.046250,4.790000,5.037500,4.036339,11733600
2001-03-26,5.038750,5.076250,4.887500,4.922500,3.944197,7064000
2001-03-27,4.922500,5.000000,4.810000,4.951250,3.967232,8483200
2001-03-28,5.000000,5.000000,4.793750,4.933750,3.953211,6362400
2001-03-29,4.938750,5.046250,4.938750,5.018750,4.021318,5832800
2001-03-30,5.023750,5.052500,4.813750,5.043750,4.041349,4391200
2001-04-02,5.040000,5.250000,5.040000,5.140000,4.118471,7388800
2001-04-03,5.142500,5.143750,4.810000,4.907500,3.932177,6492800
2001-04-04,4.907500,5.023750,4.891250,4.953750,3.969234,5100000
2001-04-05,5.047500,5.060000,4.791250,4.922500,3.944197,13628800
2001-04-06,4.922500,4.922500,4.806250,4.905000,3.930176,6812800
2001-04-09,4.943750,5.012500,4.887500,4.937500,3.956213,4030400
2001-04-10,4.968750,4.997500,4.755000,4.927500,3.948203,15030400
2001-04-11,4.896250,4.925000,4.750000,4.756250,3.810988,10657600
2001-04-12,4.737500,4.775000,4.537500,4.682500,3.751894,13772000
2001-04-16,4.713750,4.796250,4.575000,4.618750,3.700814,14552000
2001-04-17,4.575000,4.712500,4.572500,4.650000,3.725852,8573600
2001-04-18,4.606250,4.793750,4.593750,4.780000,3.830017,20862400
2001-04-19,4.811250,5.031250,4.811250,4.950000,3.966232,16092000
2001-04-20,4.962500,4.995000,4.868750,4.967500,3.980251,9133600
2001-04-23,4.952500,5.018750,4.880000,4.975000,3.986264,6832000
2001-04-24,4.947500,4.951250,4.781250,4.781250,3.831019,6303200
2001-04-25,4.762500,4.918750,4.762500,4.872500,3.904133,4781600
2001-04-26,4.875000,5.050000,4.870000,4.978750,3.989267,7180000
2001-04-27,4.993750,5.256250,4.988750,5.202500,4.168550,11600800
2001-04-30,5.202500,5.252500,5.138750,5.226250,4.187580,9381600
2001-05-01,5.150000,5.225000,5.072500,5.072500,4.064385,7025600
2001-05-02,5.072500,5.235000,5.062500,5.195000,4.162539,4779200
2001-05-03,5.131250,5.131250,5.007500,5.117500,4.100442,5381600
2001-05-04,5.040000,5.170000,4.938750,5.077500,4.068393,6878400
2001-05-07,5.065000,5.107500,5.018750,5.065000,4.058377,4399200
2001-05-08,5.063750,5.137500,5.000000,5.120000,4.102445,4370400
2001-05-09,5.012500,5.050000,4.988750,5.002500,4.008296,13472800
2001-05-10,4.998750,5.125000,4.907500,4.922500,3.944197,14444800
2001-05-11,4.935000,4.950000,4.781250,4.798750,3.845041,15259200
